Subset Size,ROUGE-1 Precision,ROUGE-1 Recall,ROUGE-1 F1,ROUGE-2 Precision,ROUGE-2 Recall,ROUGE-2 F1,ROUGE-L Precision,ROUGE-L Recall,ROUGE-L F1
30,0.23141009897268508,0.6083833430162032,0.3318608842994299,0.10352723739818485,0.3239684915533149,0.15513060266730114,0.18995482382496262,0.5011979335526873,0.2726638607660756
50,0.2550639268587344,0.6352346188208237,0.3582516565219553,0.13147175542212258,0.3698420797467068,0.19008947833998946,0.21500413686338068,0.5290419671380123,0.30076366961496265
100,0.27069150537412984,0.6436252754485344,0.3737208079285796,0.14421511250593,0.3965279030301681,0.20591891921353722,0.22739101537986128,0.5397823809027474,0.31403174389196337
