Document Count,Similarity Measure,ROUGE-1 Precision,ROUGE-1 Recall,ROUGE-1 F1,ROUGE-2 Precision,ROUGE-2 Recall,ROUGE-2 F1,ROUGE-L Precision,ROUGE-L Recall,ROUGE-L F1
100,common_tokens,0.2723522835094046,0.5935697866816977,0.3676001825807161,0.140887322313928,0.3508311939179706,0.19759412960589529,0.22775081011962686,0.49304745964539637,0.3068358330546482
100,cosine,0.27842080893405824,0.6014414165211737,0.3754631041330688,0.14248152316497723,0.3655723687367344,0.20193794400475873,0.23344006454306268,0.5035909548782457,0.3147244969436601
100,jaccard,0.2662576988728229,0.5726666905315461,0.35748034934446815,0.12789536272269011,0.3260143735708273,0.1802301019341888,0.21874394824342783,0.4703052532992464,0.2936622407629048
200,common_tokens,0.2723522835094046,0.5935697866816977,0.3676001825807161,0.140887322313928,0.3508311939179706,0.19759412960589529,0.22775081011962686,0.49304745964539637,0.3068358330546482
200,cosine,0.27842080893405824,0.6014414165211737,0.3754631041330688,0.14248152316497723,0.3655723687367344,0.20193794400475873,0.23344006454306268,0.5035909548782457,0.3147244969436601
200,jaccard,0.2662576988728229,0.5726666905315461,0.35748034934446815,0.12789536272269011,0.3260143735708273,0.1802301019341888,0.21874394824342783,0.4703052532992464,0.2936622407629048
300,common_tokens,0.2723522835094046,0.5935697866816977,0.3676001825807161,0.140887322313928,0.3508311939179706,0.19759412960589529,0.22775081011962686,0.49304745964539637,0.3068358330546482
300,cosine,0.27842080893405824,0.6014414165211737,0.3754631041330688,0.14248152316497723,0.3655723687367344,0.20193794400475873,0.23344006454306268,0.5035909548782457,0.3147244969436601
300,jaccard,0.2662576988728229,0.5726666905315461,0.35748034934446815,0.12789536272269011,0.3260143735708273,0.1802301019341888,0.21874394824342783,0.4703052532992464,0.2936622407629048
500,common_tokens,0.2723522835094046,0.5935697866816977,0.3676001825807161,0.140887322313928,0.3508311939179706,0.19759412960589529,0.22775081011962686,0.49304745964539637,0.3068358330546482
500,cosine,0.27842080893405824,0.6014414165211737,0.3754631041330688,0.14248152316497723,0.3655723687367344,0.20193794400475873,0.23344006454306268,0.5035909548782457,0.3147244969436601
500,jaccard,0.2662576988728229,0.5726666905315461,0.35748034934446815,0.12789536272269011,0.3260143735708273,0.1802301019341888,0.21874394824342783,0.4703052532992464,0.2936622407629048
